Updated.gene.symbol	logFC	P.Value
NA	1.94379351	3.74e-11
AADAC	0.37231771	0.376
AAK1	1.13288692	0.000934
AAMP	-0.10765759	0.249
AANAT	0.76826164	2.03e-06
AARS	-0.07301184	0.517
AASDHPPT	0.09303975	0.49
AASS	0.85846855	0.00594
AATF	-0.68718891	1.11e-08
AATK	0.46176824	0.00678
ABAT	0.7974312	0.00762
ABCA1	0.56859067	0.00174
ABCA12	-1.93867481	3.88e-05
ABCA2	1.22384147	0.00293
ABCA3	0.9866092	4.92e-07
ABCA4	-0.38578693	0.202
ABCA5	1.19800795	6.76e-05
ABCA6	2.11445928	1.76e-06
ABCA8	2.77763894	1.43e-08
ABCB1	1.14982097	2.37e-05
ABCB10	0.80576239	0.01
ABCB11	1.22856279	0.000148
ABCB4	1.38259599	0.00014
ABCB4///ABCB1	1.23070975	3.38e-07
ABCB6	0.92927418	0.00135
ABCB7	0.25282844	0.137
ABCB8	0.55841931	0.000435
ABCB9	0.36928544	0.0147
ABCC1	-1.03395526	0.000638
ABCC10	-0.45248758	0.0138
ABCC2	0.42374179	0.27
ABCC3	-0.55304373	0.24
ABCC4	0.45818193	0.168
ABCC5	-0.33137634	0.155
ABCC8	0.84206791	4.54e-06
ABCC9	1.14390404	0.000645
ABCD1	0.49637945	0.00987
ABCD2	0.92879684	0.0243
ABCD3	0.4659982	0.00245
ABCD4	0.76698751	0.00375
ABCE1	-0.11328352	0.528
ABCF1	0.05811663	0.515
ABCF2	0.25428454	0.106
ABCF3	-0.34486463	0.00653
ABCG1	0.14401335	0.425
ABCG2	0.33752804	0.166
ABHD14A	0.88795618	3.86e-06
ABHD14A-ACY1///ACY1	0.06176836	0.731
ABHD2	-0.2092303	0.369
ABHD3	0.3395589	0.387
ABHD5	1.0523056	0.00432
ABI1	-0.92285738	6.87e-06
ABI2	0.85416748	0.000916
ABL1	0.82068772	7.48e-05
ABL2	-0.46931027	0.0615
ABLIM1	0.30160865	0.356
ABLIM3	0.85065482	0.00206
ABO	0.18692982	0.197
ABR	-0.17071989	0.361
ABTB2	0.29942179	0.0411
ACAA1	-0.05777175	0.727
ACAA2	1.50081364	2.69e-06
ACACA	0.29044801	0.0531
ACACB	2.01352009	2.42e-11
ACADL	1.96124935	9.02e-07
ACADM	1.82019626	3.24e-09
ACADS	1.15156776	7.4e-09
ACADSB	1.38395275	1.33e-07
ACADVL	0.87186546	0.00028
ACAN	0.96439108	0.00161
ACAP1	0.27201144	0.387
ACAP2	-0.55054641	0.00613
ACAT1	1.16372987	0.00021
ACAT2	-0.6537417	0.0122
ACBD3	-0.47637597	0.000271
ACD	0.1870572	0.204
ACE	0.62091691	0.0119
ACHE	1.68124136	4.68e-06
ACIN1	-0.03257229	0.792
ACKR1	0.76422539	0.00211
ACKR2	0.07702661	0.738
ACKR3	-0.98453026	0.00108
ACLY	-1.27812255	2.09e-10
ACO1	0.27190475	0.18
ACO2	1.39957878	4.76e-05
ACOT1///ACOT2	1.26523924	7.18e-08
ACOT11	1.22152806	5.76e-07
ACOT13	-0.33930772	0.138
ACOT7	-0.95172715	5.03e-08
ACOT8	0.18211311	0.441
ACOX1	-0.04292043	0.822
ACOX2	1.82871627	6.19e-07
ACOX3	-0.20350059	0.352
ACP1	0.17883221	0.0639
ACP2	-0.41706805	0.0487
ACP5	-1.56504933	2.81e-07
ACPP	0.21517594	0.517
ACR	0.30079903	0.0448
ACRV1	0.441574	0.114
ACSBG1	0.59225101	0.0855
ACSL1	1.17256071	5.86e-08
ACSL3	0.92187879	4.85e-09
ACSL4	-0.28171845	0.114
ACSL6	0.43685316	0.199
ACSM1	0.91858179	0.0187
ACSM2A	0.69356433	0.0467
ACSM3	0.82539603	6.56e-05
ACTA1	3.07665813	0.000772
ACTA2	1.63559504	1.09e-06
ACTB	-1.05280624	4.51e-09
ACTC1	0.84828165	0.2
ACTG1///ACTB	-0.99432193	3.66e-07
ACTG1P4///AMY2B///AMY2A///AMY1C///AMY1B///AMY1A	2.82523996	3.61e-12
ACTG2	2.34954102	1.02e-06
ACTL6A	-1.32307972	2.6e-10
ACTL6B	0.36552141	0.223
ACTL8	0.49700198	0.00483
ACTN1	-1.89857204	2.1e-11
ACTN2	3.14173382	3.13e-06
ACTN3	1.97828801	0.000276
ACTN4	-0.42602705	0.0112
ACTR1A	-0.00576328	0.95
ACTR1B	0.5187924	0.000223
ACTR2	-1.01541033	1.54e-06
ACTR3	-1.33111581	2.65e-11
ACVR1	-0.13381681	0.295
ACVR1B	0.58211511	0.0045
ACVR2A	0.34990902	0.0118
ACVR2B	0.66797656	0.00151
ACVRL1	0.91771907	0.000156
ACYP1	-0.08946281	0.554
ADA	-0.73002735	0.000412
ADAM10	-1.62944568	9.89e-09
ADAM11	0.79912747	0.000425
ADAM12	-1.59293373	7.41e-05
ADAM15	0.10270378	0.405
ADAM17	-1.1021596	0.000597
ADAM18	0.56782316	0.0987
ADAM19	-0.85821005	0.000122
ADAM2	1.01875973	0.00874
ADAM20	0.5704254	0.137
ADAM21	0.69445087	0.0741
ADAM22	0.89864856	0.00563
ADAM23	-0.90241818	0.0458
ADAM28	0.4453493	0.314
ADAM3A	1.28775129	0.00037
ADAM5	0.9131103	0.0154
ADAM7	0.59972602	0.0296
ADAM8	-0.70931983	0.000635
ADAM9	-0.49216616	0.0426
ADAMDEC1	-0.07065948	0.862
ADAMTS2	0.37277739	0.214
ADAMTS3	0.88814487	0.00236
ADAMTSL2	0.46601611	0.000971
ADAMTSL3	1.41517633	9.63e-07
ADAR	-0.95037062	1.89e-08
ADARB1	0.02218133	0.908
ADCY1	1.6772157	1.13e-05
ADCY10	0.40474862	0.166
ADCY2	0.58074381	0.00117
ADCY3	-0.23488184	0.125
ADCY6	0.60182346	0.000417
ADCY7	-0.77942323	0.000276
ADCY8	1.31878323	0.000344
ADCY9	0.79617894	0.0012
ADCYAP1	0.67079361	0.00148
ADCYAP1R1	0.63354028	0.0226
ADD1	0.21531458	0.0425
ADD2	0.52727214	0.00067
ADD3	0.24235758	0.253
ADD3-AS1	0.51426595	0.0998
ADGRA3	-0.15052285	0.575
ADGRB1	0.59307187	0.00109
ADGRB2	-0.04080995	0.859
ADGRB3	0.52061865	0.0422
ADGRE1	0.12932504	0.693
ADGRE2	0.16390482	0.478
ADGRE5	-0.0994987	0.652
ADGRF5	0.81132795	0.000108
ADGRG1	-0.38487378	0.0404
ADGRG2	1.60192964	2.5e-05
ADGRG6	0.82539966	0.00105
ADGRL1	0.46816638	0.0137
ADGRL2	0.64369951	0.083
ADGRL3	1.06521517	0.000372
ADGRV1	0.95575178	0.0215
ADH1A	3.17870419	5.88e-11
ADH1B	3.24057754	1.07e-09
ADH1C	2.82690474	1.28e-08
ADH5	0.40338477	0.0312
ADH6	0.72746473	0.0337
ADH7	0.05322316	0.943
ADIPOQ	3.98294852	8.15e-08
ADIPOR2	-0.0830463	0.563
ADIRF	1.02844489	0.00341
ADK	-0.07993977	0.734
ADM	-1.3168336	1.46e-05
ADNP	-0.32908722	0.0121
ADNP2	-0.64237333	0.044
ADO	-0.16354915	0.387
ADORA1	0.60255038	0.034
ADORA2B	-1.92837761	1.02e-05
ADORA3	0.40809105	0.168
ADPRH	0.73980642	0.00264
ADRA1A	0.66409707	0.0395
ADRA1B	0.70317459	0.00026
ADRA1D	0.29364515	0.0741
ADRA2A	0.36981418	0.0238
ADRA2C	0.24886406	0.2
ADRB1	1.38478349	1.3e-05
ADRB2	0.20611242	0.292
ADRB3	0.28358841	0.455
ADRM1	-0.72183693	0.000123
ADSL	0.62379152	0.00382
ADSS	-0.01027014	0.961
ADTRP	-0.20213736	0.507
AEBP1	-0.31315274	0.317
AES	1.20944985	2.62e-08
AFAP1	-0.17343475	0.342
AFDN	0.69089588	0.0146
AFDN-AS1	0.81226298	0.0253
AFF1	0.63273562	6.94e-06
AFF2	0.8962928	0.0112
AFF3	0.59355277	0.0024
AFG3L2	0.51128134	4.08e-05
AFM	0.88260512	0.0245
AFP	0.05606811	0.855
AGA	-0.1580576	0.279
AGAP1	0.71117432	0.000212
AGAP2	0.45298836	0.12
AGER	0.4964208	0.000423
AGFG1	0.18420063	0.631
AGFG2	1.26771504	6.54e-07
AGGF1	0.3762272	0.248
AGL	1.74753444	1.82e-07
AGPAT1	0.46371416	3.21e-05
AGPAT2	0.03363343	0.813
AGPS	-0.39119703	0.00601
AGR2	1.84349862	0.00211
AGRN	-0.85249679	3.51e-05
AGRP	0.46566765	0.00289
AGT	1.72058537	1.98e-05
AGTPBP1	1.41537474	3.01e-05
AGTR1	2.38919344	5.53e-10
