ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
1665_s_at	2.78e-15	2.20e-19	-13.1899737	33.517927	-4.48923883	TYMP	thymidine phosphorylase
32531_at	9.65e-13	1.53e-16	-11.3306641	27.240466	-2.9454464	GJA1	gap junction protein alpha 1
41439_at	2.18e-12	5.18e-16	-10.996905	26.06421	-2.56621324	MYO1B	myosin IB
36879_at	2.55e-12	8.07e-16	-10.8763757	25.635921	-3.69745905	TYMP	thymidine phosphorylase
37405_at	4.28e-12	1.69e-15	10.6761772	24.920511	2.98976057	SELENBP1	selenium binding protein 1
40771_at	2.56e-11	1.48e-14	-10.0971441	22.824161	-1.64863742	MSN	moesin
160031_at	2.56e-11	1.56e-14	-10.0826996	22.77137	-2.51808066	CDH3	cadherin 3
38428_at	2.56e-11	1.78e-14	-10.047968	22.644341	-5.49854482	MMP1	matrix metallopeptidase 1
39070_at	2.56e-11	1.82e-14	-10.0420744	22.622773	-2.58194509	FSCN1	fascin actin-bundling protein 1
33371_s_at	3.50e-11	2.77e-14	-9.9313586	22.21688	-2.01122638	RAB31	RAB31, member RAS oncogene family
1107_s_at	3.83e-11	3.63e-14	-9.860557	21.956621	-3.04065117	ISG15	ISG15 ubiquitin-like modifier
34642_at	3.83e-11	3.64e-14	-9.8595599	21.952952	-2.17009312	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
34301_r_at	3.88e-11	4.00e-14	-9.8349331	21.862299	-2.34369108	KRT17///JUP	keratin 17///junction plakoglobin
32441_at	6.01e-11	6.67e-14	-9.700647	21.366869	-2.3420056	CTPS1	CTP synthase 1
31481_s_at	6.96e-11	8.35e-14	-9.6419238	21.149638	-1.74160487	TMSB10	thymosin beta 10
425_at	6.96e-11	8.82e-14	-9.6273521	21.09568	-3.29800962	IFI27	interferon alpha inducible protein 27
133_at	7.35e-11	1.00e-13	-9.5935049	20.970265	-1.81074902	CTSC	cathepsin C
38394_at	7.35e-11	1.05e-13	9.5822387	20.928495	2.14387973	GPD1L	glycerol-3-phosphate dehydrogenase 1-like
41648_at	8.49e-11	1.28e-13	9.5307322	20.737373	1.75206828	CRAT	carnitine O-acetyltransferase
38316_at	1.03e-10	1.62e-13	9.4679903	20.504214	2.83863608	ALDH1L1	aldehyde dehydrogenase 1 family member L1
36678_at	1.25e-10	2.08e-13	-9.4041643	20.266643	-1.31403846	TAGLN2	transgelin 2
35343_at	3.87e-10	6.74e-13	9.0986381	19.124331	1.64834789	GOT1	glutamic-oxaloacetic transaminase 1
32963_s_at	4.44e-10	8.08e-13	9.0516073	18.947781	2.47767629	RRAGD	Ras related GTP binding D
40403_at	4.54e-10	8.63e-13	9.0347125	18.884316	4.06899166	MYOC	myocilin
