ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Updated.gene.symbol	Updated.gene.title
653325_at	5.86e-07	1.58e-08	6.86	9.41132	3.92				
1_at	0.674	0.498	0.683	-6.56066	0.112	A1BG	alpha-1-B glycoprotein	A1BG	alpha-1-B glycoprotein
29974_at	0.455	0.27	-1.12	-6.17523	-0.0277	A1CF	APOBEC1 complementation factor	A1CF	APOBEC1 complementation factor
2_at	0.00919	0.00208	3.27	-1.96724	0.873	A2M	alpha-2-macroglobulin	A2M	alpha-2-macroglobulin
144568_at	3.94e-07	9.49e-09	7	9.90691	4.34	A2ML1	alpha-2-macroglobulin like 1	A2ML1	alpha-2-macroglobulin like 1
53947_at	0.822	0.666	0.434	-6.69982	0.0483	A4GALT	alpha 1,4-galactosyltransferase	A4GALT	alpha 1,4-galactosyltransferase
51146_at	1	1	0	-6.79485	0	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	PIGV	phosphatidylinositol glycan anchor biosynthesis class V
8086_at	0.743	0.576	0.563	-6.63549	0.0884	AAAS	aladin WD repeat nucleoporin	AAAS	aladin WD repeat nucleoporin
65985_at	0.0427	0.0133	2.58	-3.6683	0.482	AACS	acetoacetyl-CoA synthetase	AACS	acetoacetyl-CoA synthetase
13_at	1.03e-06	3.29e-08	6.64	8.69317	3.9	AADAC	arylacetamide deacetylase	AADAC	arylacetamide deacetylase
344752_at	0.000423	5.1e-05	4.47	1.55429	3.2	AADACL2	arylacetamide deacetylase like 2	AADACL2	arylacetamide deacetylase like 2
201651_at	1	0.936	-0.0813	-6.79151	-0.0294	AADACP1	arylacetamide deacetylase pseudogene 1	AADACP1	arylacetamide deacetylase pseudogene 1
51166_at	0.485	0.296	1.06	-6.23681	0.0905	AADAT	aminoadipate aminotransferase	AADAT	aminoadipate aminotransferase
195827_at	0.00209	0.000347	-3.87	-0.27818	-0.885	AAED1	AhpC/TSA antioxidant enzyme domain containing 1	AAED1	AhpC/TSA antioxidant enzyme domain containing 1
79719_at	0.00205	0.000339	-3.88	-0.25698	-0.307	AAGAB	alpha- and gamma-adaptin binding protein	AAGAB	alpha- and gamma-adaptin binding protein
22848_at	0.668	0.492	-0.692	-6.55448	-0.00182	AAK1	AP2 associated kinase 1	AAK1	AP2 associated kinase 1
28971_at	3.63e-05	2.59e-06	5.37	4.43478	0.784	AAMDC	adipogenesis associated Mth938 domain containing	AAMDC	adipogenesis associated Mth938 domain containing
14_at	0.776	0.613	-0.509	-6.66448	-0.0742	AAMP	angio associated migratory cell protein	AAMP	angio associated migratory cell protein
15_at	1	0.997	0.00393	-6.79484	8.3e-06	AANAT	aralkylamine N-acetyltransferase	AANAT	aralkylamine N-acetyltransferase
25980_at	0.00529	0.00107	-3.49	-1.3431	-0.651	AAR2	AAR2 splicing factor homolog	AAR2	AAR2 splicing factor homolog
16_at	3.47e-05	2.46e-06	-5.38	4.48758	-0.806	AARS	alanyl-tRNA synthetase	AARS	alanyl-tRNA synthetase
57505_at	0.462	0.277	1.1	-6.19071	0.153	AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARS2	alanyl-tRNA synthetase 2, mitochondrial
80755_at	0.589	0.41	-0.831	-6.44882	-0.102	AARSD1	alanyl-tRNA synthetase domain containing 1	AARSD1	alanyl-tRNA synthetase domain containing 1
132949_at	0.583	0.404	0.841	-6.44026	0.146	AASDH	aminoadipate-semialdehyde dehydrogenase	AASDH	aminoadipate-semialdehyde dehydrogenase
60496_at	0.215	0.0986	1.69	-5.40312	0.173	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
10157_at	0.000471	5.78e-05	4.43	1.4349	0.633	AASS	aminoadipate-semialdehyde synthase	AASS	aminoadipate-semialdehyde synthase
26574_at	0.000393	4.69e-05	-4.5	1.63519	-0.735	AATF	apoptosis antagonizing transcription factor	AATF	apoptosis antagonizing transcription factor
9625_at	0.148	0.0613	-1.92	-5.00829	-0.157	AATK	apoptosis associated tyrosine kinase	AATK	apoptosis associated tyrosine kinase
18_at	0.0327	0.00959	2.7	-3.37522	0.599	ABAT	4-aminobutyrate aminotransferase	ABAT	4-aminobutyrate aminotransferase
19_at	0.0324	0.00949	-2.71	-3.36532	-0.548	ABCA1	ATP binding cassette subfamily A member 1	ABCA1	ATP binding cassette subfamily A member 1
26154_at	0.0984	0.0368	-2.15	-4.57236	-1.32	ABCA12	ATP binding cassette subfamily A member 12	ABCA12	ATP binding cassette subfamily A member 12
154664_at	0.0335	0.00989	-2.69	-3.40266	-1.08	ABCA13	ATP binding cassette subfamily A member 13	ABCA13	ATP binding cassette subfamily A member 13
650655_at	0.365	0.2	1.3	-5.95529	0.145	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene
20_at	0.473	0.285	1.08	-6.21236	0.0222	ABCA2	ATP binding cassette subfamily A member 2	ABCA2	ATP binding cassette subfamily A member 2
21_at	1.25e-05	7.11e-07	5.75	5.69397	0.868	ABCA3	ATP binding cassette subfamily A member 3	ABCA3	ATP binding cassette subfamily A member 3
24_at	0.218	0.1	-1.68	-5.41867	-0.125	ABCA4	ATP binding cassette subfamily A member 4	ABCA4	ATP binding cassette subfamily A member 4
23461_at	7.71e-05	6.61e-06	5.09	3.52774	1.31	ABCA5	ATP binding cassette subfamily A member 5	ABCA5	ATP binding cassette subfamily A member 5
23460_at	1.73e-07	3.31e-09	7.31	10.9383	2.78	ABCA6	ATP binding cassette subfamily A member 6	ABCA6	ATP binding cassette subfamily A member 6
10347_at	0.388	0.217	1.25	-6.01572	0.154	ABCA7	ATP binding cassette subfamily A member 7	ABCA7	ATP binding cassette subfamily A member 7
10351_at	5.16e-09	3.89e-11	8.63	15.28331	5.55	ABCA8	ATP binding cassette subfamily A member 8	ABCA8	ATP binding cassette subfamily A member 8
10350_at	0.000491	6.09e-05	4.42	1.38457	1.27	ABCA9	ATP binding cassette subfamily A member 9	ABCA9	ATP binding cassette subfamily A member 9
