Updated.gene.symbol	logFC	P.Value
NA	3.94	5.95e-21
A1BG	-0.21	0.00889
A1BG-AS1	0.0503	0.325
A1CF	0.0277	0.344
A2M	1.82	7.46e-21
A2M-AS1	0.803	1.48e-13
A2ML1	-1.52	1.12e-06
A2MP1	0.127	0.00424
A4GALT	-0.383	3.1e-06
A4GNT	0.11	0.00132
AA06	-0.0639	0.187
AAAS	-0.375	6.82e-09
AACS	-1.1	1.75e-17
AACSP1	0.036	0.382
AADAC	0.774	0.00636
AADACL2	-0.463	0.0104
AADACP1	-0.469	0.00146
AADAT	0.147	0.139
PRXL2C	0.926	1.75e-13
AAGAB	-0.725	8.63e-13
AAK1	-0.399	5.6e-06
AAMDC	0.828	5.26e-13
AAMP	-0.372	1.43e-08
AANAT	0.0116	0.801
AAR2	0.116	0.0594
AARS1	-0.739	3.36e-17
AARS2	-0.333	0.000691
AASDH	-0.114	0.218
AASDHPPT	-0.537	3.49e-07
AASS	0.425	0.000557
AATBC	-0.00289	0.981
AATF	-0.586	6.03e-12
AATK	0.485	2.65e-11
ABAT	0.407	0.0708
ABCA1	0.235	0.0592
ABCA11P	0.228	0.00219
ABCA12	-0.931	4.23e-09
ABCA13	-1.41	2.35e-08
ABCA17P	-0.355	0.00854
ABCA2	-0.109	0.00407
ABCA3	2.58	2.27e-29
ABCA4	-0.5	0.000429
ABCA5	0.0267	0.612
ABCA6	1.44	4.17e-25
ABCA7	0.543	5.13e-07
ABCA8	4.25	7e-39
ABCA9	0.781	9.83e-15
ABCB1	1.66	5.83e-14
ABCB10	-0.074	0.473
ABCB11	-0.0416	0.266
ABCB4	-0.332	0.000984
ABCB5	0.118	0.00852
ABCB6	-1.87	2.59e-22
ABCB7	-0.0962	0.193
ABCB8	-0.257	0.000714
ASIC3	0.0153	0.696
ABCB9	-0.487	5.45e-07
ABCC1	-1.36	6.14e-09
ABCC10	-0.53	8.11e-06
ABCC11	0.0319	0.33
ABCC12	0.0376	0.274
ABCC13	0.447	1.73e-09
ABCC2	-0.144	0.107
ABCC3	-0.621	0.0038
ABCC4	-0.204	0.122
ABCC5	-1.99	9.52e-16
ABCC6P1	0.245	6.83e-06
ABCC8	0.0364	0.613
ABCC9	0.25	5.52e-05
ABCD1	-0.152	0.0299
ABCD2	-0.00899	0.738
ABCD3	-0.805	2.7e-05
ABCD4	0.363	1.41e-05
ABCE1	-0.849	8.18e-14
ABCF1	-0.513	4e-09
ABCF2-H2BK1	-0.871	5.27e-13
ABCF3	-0.805	5.98e-15
ABCG1	1.36	5.06e-11
ABCG2	1.84	6.86e-22
ABCG4	-0.0636	0.0628
ABCG5	0.0266	0.469
ABCG8	-0.0719	0.119
ABHD1	-0.113	0.00127
ABHD10	-0.9	3.62e-11
ABHD11	-0.659	2.72e-08
ABHD12	-0.295	0.00458
ABHD13	0.698	3.88e-14
ACY1	-0.363	0.00144
ABHD14A	0.816	1.97e-11
ABHD14B	0.47	6.15e-05
ABHD15	-0.271	0.0157
ABHD16A	0.109	0.177
ABHD16B	-0.0664	0.162
ABHD17A	0.357	3.53e-08
ABHD17B	-0.457	0.00228
ABHD17C	-0.56	0.000429
ABHD18	0.25	0.00158
ABHD2	0.734	2.49e-07
ABHD3	-0.272	0.00621
ABHD4	-0.513	3.88e-07
ABHD5	1.06	2.49e-20
ABHD6	1	2.1e-17
ABHD8	0.042	0.563
ABI1	-0.455	1.33e-05
ABI2	0.924	2.97e-11
ABI3	0.359	3.24e-07
ABI3BP	3.29	6.68e-26
ABL1	0.185	0.0329
ABL2	-0.213	0.00954
ABLIM1	0.948	2.66e-08
ABLIM2	-0.118	0.0049
ABLIM3	1.46	5.03e-20
ABO	-0.14	0.204
ABR	0.647	5.6e-10
ABRA	0.0175	0.505
ABRACL	-0.789	5.64e-10
ABT1	-0.304	0.000142
ABTB1	0.823	4.42e-21
ABTB2	-0.467	1.95e-09
ACAA1	0.692	6.81e-13
ACAA2	1.18	3.72e-13
ACACA	-0.528	4.91e-05
ACACB	2.15	1.51e-29
ACAD10	-0.133	0.0322
ACAD8	0.112	0.415
ACAD9	-0.498	7.99e-11
ACADL	3.17	2.44e-34
ACADM	0.5	2.55e-08
ACADS	0.238	0.000224
ACADSB	1.05	6.77e-11
ACADVL	0.495	6.02e-08
ACAN	-0.382	0.00314
ACAP1	0.268	7.14e-06
ACAP2	-1.11	1.82e-08
ACAP3	-0.339	3.58e-05
ACAT1	0.842	2.01e-12
ACAT2	-0.608	4.54e-05
ACBD3	-0.666	1.66e-05
ACBD4	0.393	1.25e-07
ACBD5	-0.341	8.42e-05
ACBD6	-0.523	5.24e-11
ACCS	1.1	2.5e-16
ACD	-0.0997	0.221
ACE	1.69	2.4e-18
ACE2	-0.597	0.000447
ACER1	-0.00192	0.965
ACER2	-0.00724	0.945
ACER3	0.959	2.42e-12
ACHE	-0.141	0.305
ACIN1	0.0189	0.767
ACKR1	3.39	7.94e-22
