Sample	Condition	Description
GSM466947	Malignant	2
GSM466948	Normal	2
GSM466949	Malignant	3
GSM466950	Normal	3
GSM466951	Malignant	6
GSM466952	Malignant	9
GSM466953	Normal	9
GSM466954	Malignant	10
GSM466955	Normal	10
GSM466956	Malignant	11
GSM466957	Normal	11
GSM466958	Malignant	12
GSM466959	Normal	12
GSM466960	Malignant	16
GSM466961	Normal	18
GSM466962	Malignant	18
GSM466963	Malignant	21
GSM466964	Normal	21
GSM466965	Malignant	22
GSM466966	Normal	22
GSM466967	Malignant	23
GSM466968	Normal	23
GSM466969	Malignant	24
GSM466970	Normal	24
GSM466971	Malignant	26
GSM466972	Normal	26
GSM466973	Malignant	28
GSM466974	Normal	28
GSM466975	Malignant	29
GSM466976	Normal	29
GSM466977	Malignant	30
GSM466978	Normal	30
GSM466979	Normal	31
GSM466980	Malignant	31
GSM466981	Normal	32
GSM466982	Malignant	32
GSM466983	Malignant	33
GSM466984	Normal	36
GSM466985	Malignant	36
GSM466986	Normal	37
GSM466987	Malignant	37
GSM466988	Normal	38
GSM466989	Malignant	38
GSM466990	Normal	40
GSM466991	Malignant	40
GSM466992	Normal	41
GSM466993	Malignant	41
GSM466994	Malignant	42
GSM466995	Normal	42
GSM466996	Malignant	43
GSM466997	Normal	43
GSM466998	Malignant	44
GSM466999	Normal	44
GSM467000	Normal	6
GSM467001	Normal	16
GSM467002	Normal	33
GSM467003	Normal	46
GSM467004	Malignant	46
GSM467005	Normal	47
GSM467006	Malignant	47
GSM467007	Normal	48
GSM467008	Malignant	48
GSM467009	Normal	49
GSM467010	Malignant	49
GSM467011	Normal	50
GSM467012	Malignant	50
GSM467013	Normal	53
GSM467014	Malignant	53
GSM467015	Normal	55
GSM467016	Malignant	55
GSM467017	Normal	57
GSM467018	Malignant	57
GSM467019	Normal	NP
GSM467020	Normal	60
GSM467021	Malignant	60
GSM467022	Normal	61
GSM467023	Malignant	61
GSM467024	Malignant	NP_1
GSM467025	Normal	64
GSM467026	Malignant	64
GSM467027	Normal	65
GSM467028	Malignant	65
GSM467029	Malignant	66
GSM467030	Malignant	NP_2
GSM467031	Normal	68
GSM467032	Malignant	68
GSM467033	Normal	70
GSM467034	Malignant	70
GSM467035	Normal	72
GSM467036	Malignant	72
GSM467037	Normal	66
