ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Updated.gene.symbol	Updated.gene.title	Retained.original
243929_at	4.65e-21	1.08e-22	12.717208	41.011009	3.6854991					TRUE
229819_at	3.9e-05	1.53e-05	-4.545039	1.94758	-0.4380609	A1BG	alpha-1-B glycoprotein	A1BG	alpha-1-B glycoprotein	FALSE
217757_at	4.29e-17	1.97e-18	10.752824	31.235966	1.5487405	A2M	alpha-2-macroglobulin	A2M	alpha-2-macroglobulin	FALSE
1564139_at	1.14e-20	2.82e-22	12.521655	40.050862	1.4224903	A2M-AS1	A2M antisense RNA 1 (head to head)	A2M-AS1	A2M antisense RNA 1	FALSE
1564307_a_at	0.00551	0.00314	-3.026646	-3.098416	-0.4991599	A2ML1	alpha-2-macroglobulin like 1	A2ML1	alpha-2-macroglobulin like 1	FALSE
219488_at	0.00147	0.000755	-3.474783	-1.771354	-0.3028296	A4GALT	alpha 1,4-galactosyltransferase	A4GALT	alpha 1,4-galactosyltransferase (P1PK blood group)	FALSE
218075_at	0.343	0.291	-1.062199	-6.947806	-0.1221298	AAAS	aladin WD repeat nucleoporin	AAAS	aladin WD repeat nucleoporin	FALSE
218434_s_at	1.11e-05	3.95e-06	-4.881437	3.255289	-0.9720916	AACS	acetoacetyl-CoA synthetase	AACS	acetoacetyl-CoA synthetase	FALSE
205969_at	0.000521	0.000247	3.800836	-0.715929	0.9898181	AADAC	arylacetamide deacetylase	AADAC	arylacetamide deacetylase	FALSE
1569582_at	0.158	0.122	-1.558416	-6.304443	-0.4239756	AADACP1	arylacetamide deacetylase pseudogene 1	AADACP1	arylacetamide deacetylase pseudogene 1	FALSE
223593_at	0.0387	0.0261	2.258082	-5.008386	0.360455	AADAT	aminoadipate aminotransferase	AADAT	aminoadipate aminotransferase	FALSE
227534_at	5.76e-07	1.65e-07	5.626093	6.344571	0.6480494	AAED1	AhpC/TSA antioxidant enzyme domain containing 1	PRXL2C	peroxiredoxin like 2C	FALSE
202852_s_at	1.77e-06	5.52e-07	-5.34916	5.166827	-0.4819952	AAGAB	alpha- and gamma-adaptin binding protein	AAGAB	alpha and gamma adaptin binding protein	FALSE
205434_s_at	8.63e-05	3.58e-05	4.325364	1.126924	0.3526961	AAK1	AP2 associated kinase 1	AAK1	AP2 associated kinase 1	FALSE
221599_at	0.0149	0.00921	2.655143	-4.082026	0.274228	AAMDC	adipogenesis associated Mth938 domain containing	AAMDC	adipogenesis associated Mth938 domain containing	FALSE
201511_at	0.0131	0.00803	-2.704382	-3.958004	-0.1755008	AAMP	angio associated migratory cell protein	AAMP	angio associated migratory cell protein	FALSE
218089_at	0.00561	0.0032	3.020099	-3.116689	0.1675138	AAR2	AAR2 splicing factor homolog	AAR2	AAR2 splicing factor	FALSE
201000_at	0.000383	0.000178	-3.893153	-0.404148	-0.3813651	AARS	alanyl-tRNA synthetase	AARS1	alanyl-tRNA synthetase 1	FALSE
230024_at	0.0131	0.00802	-2.70474	-3.957095	-0.1581434	AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARS2	alanyl-tRNA synthetase 2, mitochondrial	FALSE
235435_at	0.184	0.144	-1.470646	-6.435314	-0.1568928	AASDH	aminoadipate-semialdehyde dehydrogenase	AASDH	aminoadipate-semialdehyde dehydrogenase	FALSE
202170_s_at	9.52e-09	2e-09	-6.592106	10.674706	-0.7410644	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	FALSE
214829_at	0.000372	0.000172	3.901563	-0.375468	0.8869033	AASS	aminoadipate-semialdehyde synthase	AASS	aminoadipate-semialdehyde synthase	FALSE
1563088_a_at	0.553	0.499	0.678274	-7.281602	0.1376254	AATBC	apoptosis associated transcript in bladder cancer	AATBC	apoptosis associated transcript in bladder cancer	FALSE
209165_at	4.35e-08	1.03e-08	-6.241289	9.066397	-0.4693343	AATF	apoptosis antagonizing transcription factor	AATF	apoptosis antagonizing transcription factor	FALSE
205986_at	1.4e-11	1.78e-12	8.037792	17.612916	0.8012435	AATK	apoptosis associated tyrosine kinase	AATK	apoptosis associated tyrosine kinase	FALSE
209459_s_at	0.00279	0.0015	3.263076	-2.416739	0.8673684	ABAT	4-aminobutyrate aminotransferase	ABAT	4-aminobutyrate aminotransferase	FALSE
203504_s_at	0.00483	0.00272	3.073872	-2.965632	0.4754576	ABCA1	ATP binding cassette subfamily A member 1	ABCA1	ATP binding cassette subfamily A member 1	FALSE
220159_at	2.56e-06	8.18e-07	5.257556	4.784479	0.7746052	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	FALSE
215465_at	1.23e-07	3.14e-08	-5.99742	7.971306	-1.6575968	ABCA12	ATP binding cassette subfamily A member 12	ABCA12	ATP binding cassette subfamily A member 12	FALSE
1553604_at	0.852	0.823	-0.224121	-7.487417	-0.0682751	ABCA13	ATP binding cassette subfamily A member 13	ABCA13	ATP binding cassette subfamily A member 13	FALSE
231164_at	0.0221	0.0142	-2.496312	-4.468495	-0.7170087	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	FALSE
210100_s_at	0.00661	0.00383	-2.960427	-3.281712	-0.1969522	ABCA2	ATP binding cassette subfamily A member 2	ABCA2	ATP binding cassette subfamily A member 2	FALSE
204343_at	3.05e-15	1.96e-16	9.845752	26.662358	2.7388241	ABCA3	ATP binding cassette subfamily A member 3	ABCA3	ATP binding cassette subfamily A member 3	FALSE
210082_at	0.00124	0.000626	-3.530887	-1.59496	-0.8134284	ABCA4	ATP binding cassette subfamily A member 4	ABCA4	ATP binding cassette subfamily A member 4	FALSE
213353_at	0.0464	0.0317	2.177924	-5.179074	0.3549019	ABCA5	ATP binding cassette subfamily A member 5	ABCA5	ATP binding cassette subfamily A member 5	FALSE
217504_at	2.34e-23	3.82e-25	13.877857	46.632237	2.0837168	ABCA6	ATP binding cassette subfamily A member 6	ABCA6	ATP binding cassette subfamily A member 6	FALSE
