Updated.gene.symbol	logFC	P.Value
A1BG	0.3635937	0.0569
A1BG-AS1	0.4063245	0.00871
A1CF	0.1158573	0.624
A2M	0.2383483	0.177
A2M-AS1	-0.0232281	0.78
A2ML1	-0.2539881	0.248
A4GALT	-0.3185297	0.0143
AAAS	0.1606798	0.00783
AACS	-0.2059976	0.0187
AACSP1	0.2161708	0.448
AADAC	-0.4952836	0.00455
AADACL2	0.2059552	0.0798
AADACL2-AS1	0.0419263	0.701
AADACP1	-0.2039909	0.0779
AADAT	0.1676999	0.253
AAGAB	-0.0931245	0.116
AAK1	0.1490591	0.0219
AAMDC	-0.1666729	0.00704
AAMP	-0.1184954	0.00848
AAR2	-0.1169819	0.000297
AARS1	0.0059698	0.878
AARS2	0.2237742	8.12e-07
AARSD1	-0.0381853	0.255
AASDH	-0.0113776	0.805
AASDHPPT	-0.1008136	0.00746
AASS	0.1330936	0.176
AATBC	0.1573353	0.193
AATF	0.0076107	0.871
AATK	0.6150298	0.00139
ABALON	-0.0499027	0.43
ABAT	-0.2175134	0.046
ABCA1	0.1250387	0.469
ABCA10	0.4489439	0.000575
ABCA11P	0.0104914	0.858
ABCA12	-0.3024208	0.156
ABCA13	0.1518739	0.444
ABCA2	0.2052109	0.00914
ABCA3	0.1140296	0.16
ABCA4	0.1351947	0.126
ABCA5	0.0935654	0.175
ABCA6	0.5154097	0.000801
ABCA7	0.1858711	0.0849
ABCA9	0.5398888	0.00216
ABCB1	0.0849057	0.658
ABCB10	-0.0774011	0.227
ABCB11	-0.0596168	0.573
ABCB4	-0.0676552	0.57
ABCB6	0.1267297	0.455
ABCB7	-0.0640306	0.091
ABCB8	0.115691	0.0136
ABCB9	0.0144959	0.843
ABCC1	0.1247247	0.337
ABCC10	0.1634503	0.00782
ABCC11	0.0243896	0.833
ABCC2	-0.1372981	0.0917
ABCC3	0.5562385	0.018
ABCC4	-0.10982	0.171
ABCC5	0.4000966	6.84e-05
ABCC5-AS1	0.1343109	0.368
ABCC6	0.3467813	0.000352
ABCC6P1	0.2610301	0.00478
ABCC6P2	-0.0923775	0.365
ABCC9	-0.1796896	0.363
ABCD1	0.0927681	0.31
ABCD2	0.0714201	0.592
ABCD3	-0.1446258	0.00444
ABCD4	0.1385218	0.00192
ABCE1	-0.1803415	0.000793
ABCF1	-0.0349601	0.373
ABCF1-DT	0.0851413	0.446
ABCF2	-0.0712386	0.052
ABCF2-H2BK1	-0.0526744	0.236
ABCF3	-0.0076828	0.762
ABCG1	0.1410285	0.346
ABCG2	0.0622464	0.852
ABCG5	0.3844432	0.00411
ABHD1	-0.2492561	0.036
ABHD10	-0.1327375	0.00116
ABHD11	-0.0272147	0.658
ABHD11-AS1	-0.2012486	0.138
ABHD12	-0.0301481	0.664
ABHD12B	-0.0245921	0.816
ABHD13	-0.0968083	0.103
ABHD14A	-0.0914761	0.111
ABHD14A-ACY1	-0.1133064	0.0192
ABHD14B	-0.1004139	0.0503
ABHD15	-0.0247954	0.573
ABHD16A	0.0006392	0.988
ABHD16B	0.0383031	0.593
ABHD17A	-0.0087282	0.874
ABHD17B	-0.0386019	0.45
ABHD17C	-0.1672182	0.0428
ABHD18	0.1541093	0.00557
ABHD2	-0.0123669	0.917
ABHD3	0.0023322	0.963
ABHD4	-0.0709675	0.623
ABHD5	-0.184508	0.0113
ABHD6	-0.0652853	0.227
ABHD8	-0.0742107	0.342
ABI1	-0.0732842	0.0891
ABI2	0.0883672	0.0793
ABI3	0.1445981	0.473
ABI3BP	0.7057246	0.00285
ABITRAM	-0.0777973	0.08
ABL1	-0.0107529	0.752
ABL2	-0.0575297	0.441
ABLIM1	-0.0316858	0.715
ABLIM2	-0.3490347	0.0535
ABLIM3	-0.2559121	0.5
ABO	0.0410256	0.703
ABR	0.0888969	0.0162
ABRACL	-0.2847333	0.0289
ABRAXAS1	-0.0859974	0.146
ABRAXAS2	-0.0901315	0.0059
ABT1	-0.2093001	0.000491
ABTB1	0.133559	0.0832
ABTB2	0.3189136	0.00155
ABTB3	-0.2484037	0.285
ACAA1	0.17958	0.00834
ACAA2	0.1255099	0.437
ACACA	0.0010474	0.99
ACACB	0.2213318	0.0307
ACAD10	0.2421483	6.09e-05
ACAD11	0.1253308	0.0253
ACAD8	0.0415588	0.504
ACAD9	0.0874859	0.0016
ACADL	0.3712615	0.00179
ACADM	-0.067855	0.514
ACADS	-0.0688218	0.233
ACADSB	-0.0422484	0.443
ACADVL	-0.0210536	0.828
ACAP1	-0.0036588	0.94
ACAP2	-0.0224166	0.737
ACAP3	0.0996873	0.334
ACAT1	-0.1726332	0.119
ACAT2	-0.2874204	0.000168
ACBD3	-0.1274765	0.000637
ACBD3-AS1	-0.1760744	0.0022
ACBD4	0.0813468	0.18
ACBD5	-0.1000503	0.116
ACBD6	0.0464131	0.134
ACBD7	0.0048594	0.96
ACBD7-DCLRE1CP1	0.1014026	0.343
ACCS	0.2353428	0.0437
ACD	0.1143716	0.0247
ACE	0.2295671	0.108
ACE2	-0.0457276	0.761
ACER2	-0.0187492	0.814
ACER3	-0.131154	0.251
ACHE	0.2618261	0.261
ACIN1	0.1973066	1.3e-05
ACKR2	0.1183237	0.453
ACKR3	-0.0588507	0.664
ACKR4	0.0187638	0.871
ACLY	-0.0713138	0.118
ACMSD	0.3683289	0.00201
ACO1	-0.0392777	0.632
ACO2	-0.0219035	0.643
ACOT1	-0.1815322	0.0762
ACOT11	0.2946577	0.00703
ACOT12	0.4526861	0.0171
ACOT13	-0.1317477	0.0671
