ID	padj	P.Value	lfcSE	stat	logFC	baseMean	Gene.symbol	Gene.title
79825	0.00031	1.45E-08	0.099	5.6678156	0.5609165	132.02	EFCC1	EF-hand and coiled-coil domain containing 1
939	0.00031	2.85E-08	0.049	5.5504201	0.27198	172.4	CD27	CD27 molecule
192286	0.000312	6.97E-08	0.064	-5.3919612	-0.3450038	1692.58	HIGD2A	HIG1 hypoxia inducible domain family member 2A
59283	0.000312	8.61E-08	0.1433	5.35393	0.7671899	44.13	CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8
100529097	0.000312	8.22E-08	0.0582	-5.362129	-0.3119133	3509.66	RPL36A-HNRNPH2	RPL36A-HNRNPH2 readthrough
6170	0.000312	4.80E-08	0.0882	-5.4586163	-0.4812261	6625.27	RPL39	ribosomal protein L39
23334	0.000403	1.70E-07	0.0544	5.2292557	0.2842543	2660.84	SZT2	SZT2 subunit of KICSTOR complex
4736	0.000403	1.76E-07	0.0703	-5.2231807	-0.3671878	12750.59	RPL10A	ribosomal protein L10a
7580	0.000403	1.50E-07	0.0481	-5.2519543	-0.2526369	553.46	ZNF32	zinc finger protein 32
6207	0.000403	1.85E-07	0.0744	-5.2133875	-0.3879934	7373.08	RPS13	ribosomal protein S13
54899	0.000412	2.08E-07	0.0665	5.1917794	0.3450617	828.88	PXK	PX domain containing serine/threonine kinase like
6161	0.000421	2.71E-07	0.0851	-5.1427949	-0.4373949	11905.75	RPL32	ribosomal protein L32
6210	0.000421	2.58E-07	0.0738	-5.1516516	-0.3803552	8660.94	RPS15A	ribosomal protein S15a
6217	0.000421	2.51E-07	0.0728	-5.1567717	-0.3754441	10369.31	RPS16	ribosomal protein S16
57212	0.000421	1.09E-06	0.0596	4.8750988	0.2907509	1085.47	TP73-AS1	TP73 antisense RNA 1
6202	0.000421	4.97E-07	0.0743	-5.0275736	-0.373776	18535.51	RPS8	ribosomal protein S8
261726	0.000421	6.23E-07	0.042	-4.9839778	-0.2091843	1286.48	TIPRL	TOR signaling pathway regulator
3020	0.000421	3.91E-07	0.0502	-5.0731364	-0.2548468	13916.26	H3-3A	H3.3 histone A
391356	0.000421	1.04E-06	0.0669	-4.8834472	-0.3267473	488.45	PTRHD1	peptidyl-tRNA hydrolase domain containing 1
64427	0.000421	5.04E-07	0.0435	5.0247302	0.2185552	744.32	TTC31	tetratricopeptide repeat domain 31
6160	0.000421	9.46E-07	0.0724	-4.902628	-0.3547457	12792.46	RPL31	ribosomal protein L31
7850	0.000421	9.41E-07	0.3059	-4.9036542	-1.5001733	71.08	IL1R2	interleukin 1 receptor type 2
6168	0.000421	3.15E-07	0.0808	-5.114305	-0.4131999	12226.77	RPL37A	ribosomal protein L37a
101928636	0.000421	7.66E-07	0.1339	4.9437746	0.6618225	351.19	LOC101928636	uncharacterized LOC101928636
6159	0.000421	3.48E-07	0.0771	-5.0951571	-0.3925873	11645.81	RPL29	ribosomal protein L29
11188	0.000421	8.80E-07	0.0598	4.9166805	0.2942302	4806.91	NISCH	nischarin
84319	0.000421	9.50E-07	0.0518	-4.9017878	-0.2537338	283.49	CMSS1	cms1 ribosomal small subunit homolog
6152	0.000421	7.15E-07	0.0765	-4.9572302	-0.3794679	7740.7	RPL24	ribosomal protein L24
56945	0.000421	8.96E-07	0.0433	-4.9132422	-0.2128408	672.72	MRPS22	mitochondrial ribosomal protein S22
6165	0.000421	9.80E-07	0.0773	-4.895568	-0.3784367	7566.81	RPL35A	ribosomal protein L35a
6189	0.000421	6.41E-07	0.0831	-4.9783895	-0.4137135	20813.88	RPS3A	ribosomal protein S3A
64979	0.000421	5.46E-07	0.0617	-5.0093971	-0.3089995	563.85	MRPL36	mitochondrial ribosomal protein L36
29093	0.000421	8.80E-07	0.0632	-4.9166845	-0.3108459	532.2	MRPL22	mitochondrial ribosomal protein L22
57505	0.000421	8.12E-07	0.0454	4.9324448	0.2237742	934.45	AARS2	"alanyl-tRNA synthetase 2, mitochondrial"
51250	0.000421	7.22E-07	0.048	-4.9553635	-0.238021	448.04	MTRES1	mitochondrial transcription rescue factor 1
6194	0.000421	5.25E-07	0.0785	-5.0168439	-0.3935904	28132.07	RPS6	ribosomal protein S6
4712	0.000421	6.15E-07	0.055	-4.9865485	-0.2743779	995.04	NDUFB6	NADH:ubiquinone oxidoreductase subunit B6
6136	0.000421	8.68E-07	0.0876	-4.9194687	-0.4310857	11487.22	RPL12	ribosomal protein L12
6130	0.000421	1.15E-06	0.0647	-4.8643307	-0.3145122	20324.66	RPL7A	ribosomal protein L7a
102724488	0.000421	9.31E-07	0.1238	4.9056614	0.6073506	90.92	SYT15B	synaptotagmin 15B
118932	0.000421	1.16E-06	0.2252	-4.861999	-1.0947169	62.89	ANKRD22	ankyrin repeat domain 22
105369313	0.000421	3.99E-07	0.1482	5.0693008	0.7511093	18.66	LOC105369313	uncharacterized LOC105369313
2197	0.000421	1.13E-06	0.0764	-4.867302	-0.3717712	5880.63	FAU	FAU ubiquitin like and ribosomal protein S30 fusion
6230	0.000421	3.70E-07	0.0707	-5.0836845	-0.3595042	9867.15	RPS25	ribosomal protein S25
107984485	0.000421	6.67E-07	0.0775	4.9708442	0.3854732	203.8	LOC107984485	
6171	0.000421	5.56E-07	0.0818	-5.0058816	-0.4097142	18080.95	RPL41	ribosomal protein L41
