ID	padj	P.Value	lfcSE	stat	logFC	baseMean	Gene.symbol	Gene.title	Updated.gene.symbol	Updated.gene.title	Retained.original
1	0.124526	0.00507	0.1807	2.802393	0.5062751	64.23	A1BG	alpha-1-B glycoprotein	A1BG	alpha-1-B glycoprotein	FALSE
503538	0.305337	0.0697	0.1821	1.813628	0.3302964	113.75	A1BG-AS1	A1BG antisense RNA 1	A1BG-AS1	A1BG antisense RNA 1	FALSE
2	0.416093	0.145	0.2145	-1.45869	-0.3128565	543.19	A2M	alpha-2-macroglobulin	A2M	alpha-2-macroglobulin	FALSE
144571	0.641721	0.373	0.1223	-0.890304	-0.1089072	78.98	A2M-AS1	A2M antisense RNA 1	A2M-AS1	A2M antisense RNA 1	FALSE
144568	0.035703	0.000114	0.3438	-3.859454	-1.3267841	150.09	A2ML1	alpha-2-macroglobulin like 1	A2ML1	alpha-2-macroglobulin like 1	FALSE
53947	0.191429	0.0206	0.1408	-2.314631	-0.3259167	4786.8	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	A4GALT	alpha 1,4-galactosyltransferase (P1PK blood group)	FALSE
8086	0.757034	0.535	0.0512	-0.61971	-0.0317445	1503.98	AAAS	aladin WD repeat nucleoporin	AAAS	aladin WD repeat nucleoporin	FALSE
65985	0.159494	0.012	0.0794	-2.510891	-0.1993721	1654.39	AACS	acetoacetyl-CoA synthetase	AACS	acetoacetyl-CoA synthetase	FALSE
729522	0.263396	0.0481	0.3429	1.976152	0.6775966	27.57	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	FALSE
13	0.646115	0.379	0.1658	-0.879736	-0.1458805	178.47	AADAC	arylacetamide deacetylase	AADAC	arylacetamide deacetylase	FALSE
344752	0.436829	0.165	0.1443	1.389885	0.2006132	55.63	AADACL2	arylacetamide deacetylase like 2	AADACL2	arylacetamide deacetylase like 2	FALSE
101928142	0.417367	0.146	0.1457	1.45204	0.2115577	85.06	AADACL2-AS1	AADACL2 antisense RNA 1	AADACL2-AS1	AADACL2 antisense RNA 1	FALSE
201651	0.568548	0.288	0.1039	1.063266	0.1104632	448.04	AADACP1	arylacetamide deacetylase pseudogene 1	AADACP1	arylacetamide deacetylase pseudogene 1	FALSE
51166	0.174731	0.0156	0.1657	2.417019	0.4005749	252.9	AADAT	aminoadipate aminotransferase	AADAT	aminoadipate aminotransferase	FALSE
79719	0.609689	0.331	0.0546	-0.971183	-0.0530081	2220.75	AAGAB	alpha and gamma adaptin binding protein	AAGAB	alpha and gamma adaptin binding protein	FALSE
22848	0.202777	0.0246	0.0601	-2.246854	-0.1351066	1131.14	AAK1	AP2 associated kinase 1	AAK1	AP2 associated kinase 1	FALSE
28971	0.976638	0.947	0.074	-0.066197	-0.0048982	525.68	AAMDC	adipogenesis associated Mth938 domain containing	AAMDC	adipogenesis associated Mth938 domain containing	FALSE
14	0.228684	0.0349	0.0528	-2.109826	-0.111418	3776.48	AAMP	angio associated migratory cell protein	AAMP	angio associated migratory cell protein	FALSE
15	0.986673	0.97	0.2793	-0.03807	-0.0106322	16.1	AANAT	aralkylamine N-acetyltransferase	AANAT	aralkylamine N-acetyltransferase	FALSE
25980	0.566571	0.286	0.0566	-1.0679	-0.0604019	1765.28	AAR2	AAR2 splicing factor	AAR2	AAR2 splicing factor	FALSE
16	0.872066	0.732	0.0455	-0.341815	-0.0155647	3131.77	AARS1	alanyl-tRNA synthetase 1	AARS1	alanyl-tRNA synthetase 1	FALSE
57505	0.900068	0.783	0.0584	0.275424	0.0160863	735.11	AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARS2	alanyl-tRNA synthetase 2, mitochondrial	FALSE
80755	0.882245	0.752	0.0534	-0.31595	-0.0168597	522.95	AARSD1	alanyl-tRNA synthetase domain containing 1	AARSD1	alanyl-tRNA synthetase domain containing 1	FALSE
132949	0.490501	0.211	0.0558	1.250682	0.069821	523.6	AASDH	aminoadipate-semialdehyde dehydrogenase	AASDH	aminoadipate-semialdehyde dehydrogenase	FALSE
60496	0.336293	0.0885	0.0644	1.703152	0.1096945	1123.86	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	FALSE
10157	0.951052	0.892	0.0906	0.135148	0.0122394	698.38	AASS	aminoadipate-semialdehyde synthase	AASS	aminoadipate-semialdehyde synthase	FALSE
284837	0.755187	0.532	0.1337	0.624311	0.0834767	218.98	AATBC	apoptosis associated transcript in bladder cancer	AATBC	apoptosis associated transcript in bladder cancer	FALSE
26574	0.96426	0.92	0.0506	0.100212	0.0050661	1185.33	AATF	apoptosis antagonizing transcription factor	AATF	apoptosis antagonizing transcription factor	FALSE
9625	0.972777	0.939	0.235	0.076469	0.0179708	124.76	AATK	apoptosis associated tyrosine kinase	AATK	apoptosis associated tyrosine kinase	FALSE
103021294	0.799895	0.602	0.0845	0.521688	0.0440931	941.48	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	FALSE
18	0.807728	0.617	0.1065	0.499677	0.0532334	1303.71	ABAT	4-aminobutyrate aminotransferase	ABAT	4-aminobutyrate aminotransferase	FALSE
19	0.124526	0.005	0.2021	-2.807103	-0.5672829	602.82	ABCA1	ATP binding cassette subfamily A member 1	ABCA1	ATP binding cassette subfamily A member 1	FALSE
10349	0.464648	0.188	0.1112	-1.316125	-0.1464051	163.81	ABCA10	ATP binding cassette subfamily A member 10	ABCA10	ATP binding cassette subfamily A member 10	FALSE
79963	0.127217	0.00578	0.0742	2.760091	0.2049109	272.21	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	FALSE
26154	0.038492	0.00015	0.2854	-3.791178	-1.0818233	432.18	ABCA12	ATP binding cassette subfamily A member 12	ABCA12	ATP binding cassette subfamily A member 12	FALSE
154664	0.594234	0.316	0.1591	1.002696	0.1594992	12615.26	ABCA13	ATP binding cassette subfamily A member 13	ABCA13	ATP binding cassette subfamily A member 13	FALSE
20	0.348751	0.0968	0.1162	1.660807	0.1930486	1943.19	ABCA2	ATP binding cassette subfamily A member 2	ABCA2	ATP binding cassette subfamily A member 2	FALSE
21	0.65143	0.387	0.1179	0.865222	0.1019972	456.61	ABCA3	ATP binding cassette subfamily A member 3	ABCA3	ATP binding cassette subfamily A member 3	FALSE
24	0.837022	0.669	0.106	0.427318	0.0453026	370.86	ABCA4	ATP binding cassette subfamily A member 4	ABCA4	ATP binding cassette subfamily A member 4	FALSE
23461	0.872066	0.732	0.0918	0.341877	0.0313907	2989.48	ABCA5	ATP binding cassette subfamily A member 5	ABCA5	ATP binding cassette subfamily A member 5	FALSE
23460	0.975554	0.945	0.1947	-0.069402	-0.0135146	35.02	ABCA6	ATP binding cassette subfamily A member 6	ABCA6	ATP binding cassette subfamily A member 6	FALSE
10347	0.408868	0.139	0.1312	-1.478436	-0.1940286	3493.77	ABCA7	ATP binding cassette subfamily A member 7	ABCA7	ATP binding cassette subfamily A member 7	FALSE
10350	0.865434	0.72	0.1776	-0.358085	-0.063607	140.01	ABCA9	ATP binding cassette subfamily A member 9	ABCA9	ATP binding cassette subfamily A member 9	FALSE
5243	0.662777	0.401	0.3052	0.839446	0.2561836	40.61	ABCB1	ATP binding cassette subfamily B member 1	ABCB1	ATP binding cassette subfamily B member 1	FALSE
23456	0.300291	0.0666	0.0716	1.834192	0.1312666	1056.24	ABCB10	ATP binding cassette subfamily B member 10	ABCB10	ATP binding cassette subfamily B member 10	FALSE
8647	0.290311	0.0615	0.1659	-1.87018	-0.3103455	398.59	ABCB11	ATP binding cassette subfamily B member 11	ABCB11	ATP binding cassette subfamily B member 11	FALSE
5244	0.737198	0.504	0.0952	-0.668491	-0.063668	378.38	ABCB4	ATP binding cassette subfamily B member 4	ABCB4	ATP binding cassette subfamily B member 4	FALSE
10058	0.740754	0.51	0.144	-0.658073	-0.0947822	1979	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	ABCB6	ATP binding cassette subfamily B member 6 (LAN blood group)	FALSE
22	0.72026	0.478	0.0503	-0.709366	-0.0356777	596.86	ABCB7	ATP binding cassette subfamily B member 7	ABCB7	ATP binding cassette subfamily B member 7	FALSE
11194	0.425125	0.154	0.0643	-1.424398	-0.0915874	1248.79	ABCB8	ATP binding cassette subfamily B member 8	ABCB8	ATP binding cassette subfamily B member 8	FALSE
23457	0.938326	0.862	0.0812	-0.173526	-0.014098	159.74	ABCB9	ATP binding cassette subfamily B member 9	ABCB9	ATP binding cassette subfamily B member 9	FALSE
4363	0.496344	0.216	0.1124	-1.236994	-0.139064	3294.32	ABCC1	ATP binding cassette subfamily C member 1	ABCC1	ATP binding cassette subfamily C member 1 (ABCC1 blood group)	FALSE
89845	0.815862	0.632	0.0827	-0.479066	-0.0396101	1356.45	ABCC10	ATP binding cassette subfamily C member 10	ABCC10	ATP binding cassette subfamily C member 10	FALSE
85320	0.836501	0.668	0.1196	-0.428561	-0.0512662	32.97	ABCC11	ATP binding cassette subfamily C member 11	ABCC11	ATP binding cassette subfamily C member 11	FALSE
1244	0.556338	0.276	0.1486	1.089338	0.1619112	192.18	ABCC2	ATP binding cassette subfamily C member 2	ABCC2	ATP binding cassette subfamily C member 2	FALSE
8714	0.992222	0.982	0.2459	-0.022975	-0.0056493	1027.53	ABCC3	ATP binding cassette subfamily C member 3	ABCC3	ATP binding cassette subfamily C member 3	FALSE
10257	0.275343	0.054	0.1306	1.926881	0.2517229	843.62	ABCC4	ATP binding cassette subfamily C member 4	ABCC4	ATP binding cassette subfamily C member 4 (PEL blood group)	FALSE
10057	0.633305	0.362	0.0947	0.912185	0.0863524	6688.1	ABCC5	ATP binding cassette subfamily C member 5	ABCC5	ATP binding cassette subfamily C member 5	FALSE
100873982	0.899422	0.782	0.2156	-0.276653	-0.0596481	34.92	ABCC5-AS1	ABCC5 antisense RNA 1	ABCC5-AS1	ABCC5 antisense RNA 1	FALSE
368	0.228684	0.0349	0.1477	2.109374	0.3116211	1031.78	ABCC6	ATP binding cassette subfamily C member 6	ABCC6	ATP binding cassette subfamily C member 6	FALSE
