Updated.gene.symbol	logFC	P.Value
KRT6A	-5.85	1.09e-16
MMP12	-5.63	4.74e-31
SPRR1B	-5.25	1.66e-15
AKR1B10	-5.16	7.41e-18
MMP1	-5.11	1.69e-22
KRT6B	-5.1	2e-13
KRT17	-4.87	9e-16
S100A2	-4.84	2.36e-18
SERPINB5	-4.83	6.52e-18
GJB2	-4.78	3.33e-23
SPRR1A	-4.77	1.88e-11
KRT5	-4.73	4.2e-12
GREM1	-4.69	1.73e-25
COL11A1	-4.68	1.96e-25
TOP2A	-4.66	1.04e-46
GJB6	-4.62	1.13e-14
DST	-4.52	2.38e-15
DSG3	-4.45	1.06e-14
UGT1A10	-4.43	3.16e-17
SPRR3	-4.36	2.74e-11
PSAT1	-4.33	1.56e-32
SPP1	-4.32	5.4e-22
KRT14	-4.3	3.03e-11
KRT15	-4.3	4.96e-16
GPX2	-4.29	1.39e-16
SLC2A1	-4.27	2.08e-31
SOX2	-4.25	7.4e-16
ANLN	-4.21	1.46e-43
CDC20	-4.13	2.02e-44
CLCA2	-4.11	3.77e-12
TMPRSS4	-4.05	1.16e-29
TPX2	-4.04	5.22e-44
RRM2	-4.02	1.19e-35
BIRC5	-3.98	4.14e-40
KRT16	-3.98	9.78e-14
ASPM	-3.96	2.94e-44
PTHLH	-3.95	2.55e-14
IGF2BP3	-3.93	2.73e-23
CCNB1	-3.91	7.54e-42
TP63	-3.88	1.67e-12
WDR72	-3.86	2.91e-15
DSC3	-3.85	1.11e-13
NTS	-3.84	1.03e-08
CXCL14	-3.82	1.35e-14
CCNB2	-3.8	7.26e-38
DSP	-3.8	7.77e-29
GPR87	-3.79	1.5e-18
DLGAP5	-3.78	1.19e-37
PCLAF	-3.76	5.13e-33
UGT1A1	-3.7	5.75e-17
UBE2C	-3.68	2.55e-38
CALML3	-3.67	2.11e-11
FAM83D	-3.67	7.13e-29
SULF1	-3.66	1.06e-27
TRIM29	-3.66	1.27e-12
COL10A1	-3.65	2.36e-22
SERPINB3	-3.65	1.98e-12
CTHRC1	-3.63	5.51e-26
TFAP2A	-3.63	5.85e-29
PKP1	-3.62	3.73e-14
BUB1B	-3.6	1.08e-34
SPRR2D	-3.59	7.77e-11
MAD2L1	-3.58	1.48e-39
CDCA7	-3.54	1.61e-34
CENPF	-3.51	9.56e-40
COL1A1	-3.51	5.77e-23
UHRF1	-3.51	3.63e-44
PBK	-3.5	1.7e-31
SERPINB13	-3.5	2.93e-11
CEP55	-3.48	3.73e-40
GINS1	-3.48	1.82e-33
CENPA	-3.48	2.97e-36
TTK	-3.46	6.76e-33
PRC1	-3.44	3.23e-36
CDK1	-3.43	7.83e-38
MELK	-3.42	5.73e-41
ADAM12	-3.41	3.05e-29
PTPRZ1	-3.41	8.55e-13
KRT13	-3.39	6.74e-09
S100A7	-3.39	1.21e-10
MAGEA3	-3.37	5.11e-10
SLC6A8	-3.36	3.84e-23
NEK2	-3.34	2e-37
