Updated.gene.symbol	logFC	P.Value
CLDN18	5.9096407	2.75e-34
ADH1B	5.5479917	7.19e-17
AGER	5.5067045	6.77e-43
SFTPC	5.2875387	1.71e-14
CYP4B1	5.1490767	5.44e-13
TMEM100	5.0227697	1.11e-25
CLIC5	4.9840663	4.31e-27
SCGB1A1	4.9742119	7.1e-11
GPM6A	4.9109709	1.07e-42
SLC6A4	4.8136197	3.79e-36
AQP4	4.7943873	3.27e-11
CA4	4.7885025	6.22e-38
FABP4	4.7608329	3.32e-22
VEGFD	4.6536572	2.47e-32
FAM107A	4.6335678	2.86e-37
STXBP6	4.5971818	1.16e-32
ADRB1	4.5363188	1.29e-31
CD36	4.4708124	2.65e-31
FHL1	4.4660392	3.68e-37
MAMDC2	4.4438459	2.77e-22
WIF1	4.4336219	1.89e-11
ABCA8	4.4096528	2.2e-22
RTKN2	4.3664836	2.89e-45
BTNL9	4.3343333	8.29e-38
CPB2	4.2785912	1.31e-35
FCN3	4.174333	4.97e-30
TCF21	4.119467	5.88e-35
CLEC3B	4.0901634	1.33e-31
GDF10	4.0569196	8.22e-52
ZNF385B	4.0253992	5.87e-16
ADAMTS8	4.0234901	8.56e-43
FOSB	3.9435988	5.71e-16
ECRG4	3.9271117	1.56e-25
KCNK3	3.8682407	1.52e-22
AFF3	3.8654628	2.82e-28
GKN2	3.8162169	1.32e-15
TNNC1	3.7788849	7.16e-38
COL6A6	3.7688373	7.26e-27
EDNRB	3.7343365	8.35e-25
SOSTDC1	3.7274026	1.52e-13
HBB	3.7062653	2.18e-23
NA	3.6854991	1.08e-22
EMCN	3.6558876	2.47e-23
HBA1	3.6140179	2.84e-22
MED12L	3.6073433	1.31e-42
CAVIN2	3.5991326	1.49e-34
VEPH1	3.5936087	8.34e-27
PEBP4	3.5929779	2.3e-13
MCEMP1	3.5774349	6.68e-29
LRRC36	3.5202215	3.56e-60
NCKAP5	3.5152244	4.17e-36
VIPR1	3.4830985	6.43e-33
ALKAL2	3.4675793	1.26e-27
SFTPD	3.3657189	1.34e-10
CHRDL1	3.3651988	2.4e-16
ACADL	3.3615773	3.06e-34
MFAP4	3.3360701	1.68e-27
GPIHBP1	3.3328515	8.14e-38
ZBTB16	3.3158834	3.23e-19
PTPRB	3.3058503	2.67e-26
COL4A3	3.3002245	7.37e-17
LRRK2	3.2604853	1.39e-16
OGN	3.2505484	5.1e-13
DUOX1	3.2355192	8.92e-22
FGFR4	3.2232638	7.6e-41
CD300LG	3.2203655	2.64e-37
CYP2B6	3.2173602	1.64e-09
AGTR1	3.2163233	7.61e-30
TEK	3.2045965	3.55e-33
LIFR	3.16131	1.35e-15
SUSD2	3.1584546	6.4e-16
CACNA2D2	3.1568605	4.93e-16
LPL	3.155151	2.45e-11
PGC	3.1532005	4.28e-07
SERTM1	3.1372964	2.52e-47
C7	3.1233546	5.85e-11
ADRA1A	3.1227661	3.07e-52
PDK4	3.121766	1.72e-14
DACH1	3.1198773	5.13e-26
PLA2G1B	3.1123649	3.41e-18
SOX7	3.1101383	1.61e-28
SORBS2	3.105396	1.6e-14
STX11	3.1015907	1.89e-36
FMO2	3.1015797	7.21e-24
ABI3BP	3.100415	9.85e-17
CCDC85A	3.0932668	1.11e-43
ENTREP1	3.0886075	4.19e-29
ADAMTSL3	3.0823783	4.27e-27
LRRN3	3.0394805	3.4e-27
MS4A15	3.0360327	1.94e-39
CALCRL	3.025274	4.62e-31
OLR1	3.0137258	6.29e-19
FAT3	3.0104762	2.68e-36
FHL5	2.9968846	1e-26
ANKRD29	2.9949146	3.76e-16
DNASE1L3	2.9889869	3.76e-24
MARCO	2.9830664	2.88e-20
SCN4B	2.9712106	1.47e-26
