Updated.gene.symbol	logFC	P.Value
SFTPA2	1.9022756	0.0017
SFTPB	1.8144026	0.00291
TBX4	1.5298078	5.34e-07
IGHG2	1.4190178	0.0125
LRRC32	1.3754149	0.0167
LSAMP	1.2782403	0.00112
CECR2	1.2218907	0.0119
LOC105376789	1.2088331	3.85e-06
SULT1C4	1.1201848	0.00107
DUSP5-DT	1.0930273	0.000457
KRT38	1.0882778	0.000869
WIF1	1.0861617	0.011
SLIT3	1.0746901	0.000335
LOC105375952	1.0518222	1.82e-05
LOC107984877	1.0419514	2.86e-06
SEMA6D	1.0356524	7.92e-05
HIF3A	1.0294996	0.00193
LOC105370456	1.0213884	0.0012
PRKAG3	1.0104686	1.89e-06
PREX2	1.0094898	0.00175
LRP2	0.9910129	0.000269
ADGRE4P	0.9891188	4.93e-05
LINC02797	0.9873163	0.00287
HGF	0.9862738	0.00395
LOC107986529	0.9787482	3.7e-05
SSUH2	0.9783486	0.000183
OR7E12P	0.9649231	0.000569
NPY4R2	0.9607657	0.000295
OLFML1	0.9386438	0.000397
LOC102724092	0.9352753	0.00123
SYN3	0.9307841	0.001
LINC02299	0.9297585	0.00522
LOC102724197	0.9291517	0.000463
PTGDR	0.9055551	6.64e-05
LINC02009	0.9050019	0.00181
RNU5F-1	0.8966731	1.04e-05
LOC105372622	0.8955172	0.00138
NKD2	0.8786411	0.0017
MTUS2	0.8776737	0.00198
SERPINA10	0.8555645	0.000409
LOC105372782	0.8433039	1.09e-06
IMPA1P1	0.8407782	0.000662
LOC107985251	0.8395096	7.09e-05
SGK2	0.8389376	3.23e-05
TSPO2	0.8387192	8.81e-05
LOC107984747	0.8352302	0.00309
MIR6772	0.8326093	7.18e-05
RGL3	0.8302763	2.09e-05
LOC107984745	0.8296847	0.00126
TAS2R4	0.8280487	8.5e-06
LINC02930	0.8232386	0.000201
LOC107985986	0.8225749	3.75e-05
FBXO39	0.8162144	4.03e-05
LOC105375334	0.8125535	0.000337
MRPL23-AS1	0.799293	0.000287
KCTD19	0.795234	1.06e-05
LOC107984578	0.7948615	0.00107
SNED1-AS1	0.7945383	0.000457
LOC101927446	0.7931513	0.00103
LOC107985787	0.793088	0.00081
LOC105379379	0.7895688	0.00225
SPHKAP	0.7854613	0.00216
SYCP2L	0.78295	0.00166
SIGLEC16	0.7780404	0.000325
LOC105371754	0.7760228	0.001
CECR3	0.7743448	0.000882
LOC102723335	0.7698365	0.000981
CACNG8	0.7671899	8.61e-08
LOC105375337	0.7656964	4.12e-05
LINC01451	0.7626026	0.000121
LGI4	0.760749	0.000232
LINC02213	0.7586547	0.000127
LOC107985289	0.7573367	0.000139
ADAMTS10	0.7565534	0.000451
LOC105374328	0.7552994	0.000184
SPON1	0.7523835	3.83e-06
LOC105369313	0.7511093	3.99e-07
LOC112268288	0.7488019	0.000498
KLF11-DT	0.7445022	7.43e-05
LOC107985556	0.7434931	5.92e-07
MPIG6B	0.742096	0.0015
LOC105370820	0.7416794	0.000317
COL6A3	0.741642	0.00117
FRMPD1	0.7376057	0.00101
LOC105375470	0.7373021	0.000732
LOC100132078	0.7337165	0.00162
LOC105374167	0.7331405	8.3e-05
CTXND1	0.73253	2.61e-05
LOC107987389	0.7309712	0.00171
LOC105370893	0.7285017	1.34e-05
LOC107985221	0.7272884	4.49e-06
FSIP2-AS2	0.7253834	0.000893
LOC107986594	0.7238661	0.000975
MFSD13B	0.7234647	2.3e-05
MIR1302-8	0.7198597	0.000248
RANBP3-DT	0.719581	7.14e-05
AGAP12P	0.7187025	4.11e-05
LOC105377046	0.7166445	0.000143
GREP1	0.7162611	0.000778
LOC112268051	0.7146467	6.57e-05
LOC112267930	0.712472	0.000868
LOC105375457	0.7116655	1.91e-06
SYT15-AS1	0.7105459	7.35e-05
LOC730234	0.7102227	4.67e-06
LOC105374808	0.7102008	0.000922
SPDYE2B	0.7093745	2.22e-05
SLCO2A1	0.7090282	0.000816
GPR179	0.7073738	0.000122
STRC	0.7072461	1.37e-05
PTPRVP	0.706708	0.000365
LINC01107	0.7052577	0.000356
LOC100505716	0.7044811	0.000147
LINC02636	0.7024056	0.000251
SPDYE2	0.7015853	7.95e-06
LOC101929805	0.7010457	0.000828
LOC102723798	0.6985752	0.000587
POU2AF1	0.6983772	2.28e-05
LOC105378141	0.6971338	0.00118
LOC105371742	0.6962086	4.33e-05
COL4A3	0.6941185	0.000689
MIR642A	0.6914545	2.43e-05
LOC105372421	0.6909441	0.00023
SNORD175	0.6892923	4.11e-05
LOC102724731	0.6881296	9.76e-05
MIR4483	0.6875289	0.00039
MIR642B	0.6855684	4.13e-05
LOC107986715	0.685265	0.000766
LOC105378841	0.6831056	8.01e-05
NEXN-AS1	0.6823477	0.000143
CYP2B6	0.6820088	0.000391
CASP16P	0.6802337	5.76e-05
LOC112543491	0.6801122	0.000447
LOC729080	0.6799952	0.000119
LOC107986175	0.6757467	0.000999
LOC105377725	0.6746922	0.000659
SDC4P	0.6725035	0.000479
KIZ-AS1	0.6696644	0.000464
LINC00544	0.6694631	0.000693
APOA1-AS	0.6678513	0.000776
DIRC3	0.6664539	0.000865
FAM238C	0.6658694	0.000167
LINC01996	0.664735	0.000731
MIR149	0.6631124	0.000443
LOC101928636	0.6618225	7.66e-07
RHOQ-AS1	0.6610571	3.6e-06
LOC112268043	0.6603943	1.86e-05
TNXB	0.6600929	0.000125
LOC105378751	0.6599881	0.000477
LOC441239	0.6597325	0.000632
SNORD62B	0.6589662	2.38e-05
LINC00173	0.6578685	0.000689
LOC102725258	0.6574446	0.000424
LOC105371159	0.6563272	5.05e-05
LOC105375061	0.6562988	0.000601
LOC105370181	0.6551864	0.000472
IDS2	0.6547009	1.62e-05
LOC105371257	0.6504499	0.000535
LOC107987098	0.6497928	2.87e-05
LOC112268258	0.6480697	2.71e-05
LOC107986986	0.6454816	0.000722
LOC107984210	0.641787	6.55e-06
LOC112267943	0.6397109	0.000431
TEDDM1	0.6378982	0.000216
KCNC3	0.6371957	6.59e-06
LOC105370113	0.6363301	0.000191
LINC02212	0.6355519	0.000247
FNDC5	0.6314947	0.000171
TAS2R5	0.6314323	9.92e-05
LOC105373716	0.6314108	0.000387
RBP5	0.6312008	3.86e-06
LOC105370573	0.6294038	0.000333
LOC105371414	0.6275024	0.000299
C11orf42	0.6273612	4.1e-06
SH3GL1P1	0.627113	0.000315
LOC100190986	0.6266717	0.000294
LINC02883	0.6217487	2.13e-05
CYP11A1	0.621581	4.36e-05
BEAN1	0.6191168	2.35e-05
CACNG2-DT	0.6187053	0.000429
LOC107984264	0.6179495	0.000279
LOC112267861	0.6168415	0.000109
GATA6-AS1	0.614324	3.44e-05
LOC105376952	0.6127189	1.59e-05
LOC105373255	0.6115072	0.000218
GAS8-AS1	0.6103979	0.000389
GTF2IP13	0.6093868	8.76e-06
MATN3	0.607579	0.000321
SYT15B	0.6073506	9.31e-07
LINC02340	0.6057183	0.000206
LOC107987057	0.6043706	0.000152
CACNA1C	0.6043173	0.00028
LOC102724956	0.6033548	0.000302
LOC107984841	0.6005571	1.32e-05
ESR1	0.6004322	4.85e-05
SPDYE6	0.5995935	1.79e-05
